name,isin,as_of_date
BANK OF BARODA,INE028A01039,2026-06-30
APAR INDUSTRIES,INE372A01015,2026-06-30
HDB FINANCIAL SERVICES LTD,INE756I01012,2026-06-30
MUTHOOT FINANCE LTD,INE414G01012,2026-06-30
OIL INDIA LTD,INE274J01014,2026-06-30
RAIL VIKAS NIGAM LTD,INE415G01027,2026-06-30
EMBASSY OFFICE PARKS REIT,INE041025011,2026-06-30
IPCA LABORATORIES LTD,INE571A01038,2026-06-30
COLGATE-PALMOLIVE INDIA LTD,INE259A01022,2026-06-30
VARUN BEVERAGES LTD,INE200M01039,2026-06-30
GODREJ PROPERTIES LTD,INE484J01027,2026-06-30
ADITYA BIRLA CAPITAL LTD,INE674K01013,2026-06-30
BANK OF MAHARASHTRA,INE457A01014,2026-06-30
PB FINTECH LTD,INE417T01026,2026-06-30
ICICI PRUDENTIAL ASSET MANAGEMENT CO LTD,INE346A01027,2026-06-30
KALYAN JEWELLERS INDIA LTD,INE303R01014,2026-06-30
MRF LTD,INE883A01011,2026-06-30
AARTI INDUSTRIES LTD,INE769A01020,2026-06-30
ESCORTS KUBOTA LTD,INE042A01014,2026-06-30
SIEMENS LTD,INE003A01024,2026-06-30
INDRAPRASTHA GAS LTD,INE203G01027,2026-06-30
UNO MINDA LTD,INE405E01023,2026-06-30
CG POWER AND INDUSTRIAL SOLUTIONS LTD,INE067A01029,2026-06-30
GAIL (INDIA) LTD,INE129A01019,2026-06-30
ABB LTD (IN),INE117A01022,2026-06-30
FSN E-COMMERCE VENTURES PRIVATE LTD,INE388Y01029,2026-06-30
HINDUSTAN UNILEVER LTD,INE030A01027,2026-06-30
ADANI ENTERPRISES LTD,INE423A01024,2026-06-30
ADANI POWER LTD,INE814H01029,2026-06-30
SHREE CEMENT LTD,INE070A01015,2026-06-30
SUPREME INDUSTRIES LTD (THE),INE195A01028,2026-06-30
MOTILAL OSWAL FINANCIAL SERVICES LTD,INE338I01027,2026-06-30
BILLIONBRAINS GARAGE VENTURES LTD,INE0HOQ01053,2026-06-30
ACC LTD,INE012A01025,2026-06-30
VODAFONE IDEA LTD,INE669E01016,2026-06-30
INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LTD,INE202E01016,2026-06-30
OIL AND NATURAL GAS CORP LTD,INE213A01029,2026-06-30
MAX FINANCIAL SERVICES LTD,INE180A01020,2026-06-30
SUN TV NETWORK LTD,INE424H01027,2026-06-30
GODFREY PHILLIPS INDIA LTD,INE260B01028,2026-06-30
BHARTI HEXACOM LTD,INE343G01021,2026-06-30
WAAREE ENERGIES LTD,INE377N01017,2026-06-30
LTM LTD,INE214T01019,2026-06-30
CHOLAMANDALAM FINANCIAL HOLDINGS LTD,INE149A01033,2026-06-30
INFOSYS LTD,INE009A01021,2026-06-30
DR. LAL PATHLABS LTD,INE600L01024,2026-06-30
